"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS","GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",303,0.756025925975235,2.03137601229679,1e-10,2.67051282051282e-09,1.90148448043185e-09,2717,"tags=56%, list=14%, signal=49%","CCL19/TNFAIP3/IRF4/HLA-DRA/NCKAP1L/SLAMF1/FCMR/CD226/CSF2RB/JAK3/SPN/PTPRC/LILRB1/WAS/SASH3/CD74/INPP5D/PTPN6/FCGR2B/IL27RA/CD69/STAT4/CD4/IL2RB/LY9/UNC13D/TNFRSF1B/IL12RB1/IGLL5/HLA-F/SLAMF6/CD1E/NFKB2/CD7/BTK/CRACR2A/CD28/CXCL13/FCER2/EBI3/FUT7/SLA2/CRTAM/CD27/CD1C/DUSP22/BATF/IL4I1/CLEC7A/JAK2/MYD88/ADA/MEF2C/PDCD1/BTN3A2/CCR2/KLHL6/GZMM/TNF/CD40LG/TBX21/P2RX7/TAP2/STAT5A/IL18/CD19/IL10/LEF1/JAK1/TNFSF4/PRF1/RELB/CD1D/HAVCR2/HLA-E/SECTM1/IL6R/MALT1/CD40/CR1/FOXP3/IL4R/LGALS9/IL7R/CD1B/CD8A/BTN3A3/TLR4/EXO1/IL18BP/CARD9/CD80/CCR6/ARID5A/C1S/CR2/LTA/B2M/IL12B/TLR8/IL18R1/MYO1G/C7/C1RL/BCL6/LILRB4/IL12A/TCIRG1/LOXL3/IL9R/IL33/HLA-B/CD274/C3/XCL1/AIRE/C1QC/RIPK2/RC3H2/CR1L/TNFSF13B/TYK2/IL1B/STAT6/DENND1B/NOTCH1/C2/BACH2/TGFB1/IL6ST/C1QA/FCER1G/IL17RA/SLC15A4/SWAP70/CLEC4G/C1QB/CD70/RFTN1/ATAD5/HMCES/CD1A/KLRD1/NLRP3/GATA3/ENTPD7/TREM2/ASCL2/FBXO38/IL23A/IRF7/ZC3H12A/UNC93B1/FCGR3A/HLA-C/C17orf99/FCGR1A/C1R/AICDA/NFKBID/STX7/LIG4/TFRC/RIF1/HLA-A/ADAM17/PPP3CB/ZBTB1/C5"
"GOBP_B_CELL_PROLIFERATION","GOBP_B_CELL_PROLIFERATION",85,0.783068677992049,2.02687234362322,1e-10,2.67051282051282e-09,1.90148448043185e-09,2084,"tags=55%, list=11%, signal=49%","GAPT/NCKAP1L/TNFRSF13B/CD79A/PTPRC/CTLA4/CARD11/SASH3/CD74/INPP5D/CD300A/CASP3/FCGR2B/IKZF3/PLCL2/BTK/ATM/TNFRSF13C/RASGRP1/IL7/LYN/ADA/MEF2C/FCRL3/CD40LG/TNFRSF4/CD180/MZB1/MS4A1/CD19/CD38/IL10/LEF1/CD40/MNDA/IL7R/TLR4/TCF3/CR2/TYROBP/BCL6/CD22/TNFSF13B/IL21/CD70/CTPS1/ATAD5"
"GOBP_TYPE_II_INTERFERON_PRODUCTION","GOBP_TYPE_II_INTERFERON_PRODUCTION",112,0.773073074693712,2.02640192555856,1e-10,2.67051282051282e-09,1.90148448043185e-09,2597,"tags=59%, list=14%, signal=51%","PTPN22/TLR7/SLAMF1/LAPTM5/CD226/CD2/LILRB1/CD3E/SASH3/BTN3A1/IL27RA/HLA-DPA1/IL12RB1/SLAMF6/CD96/IRF8/HLA-DPB1/EBI3/CRTAM/CLEC7A/JAK2/SLC7A5/CD244/BTN3A2/CCR2/TNF/CCR7/IL18/IL10/NLRP6/TNFSF4/PDCD1LG2/HAVCR2/PYCARD/CR1/FOXP3/LGALS9/TLR4/ARID5A/LTA/IL12B/TLR8/IL18R1/PDE4B/LILRB4/IL12A/IL33/CD274/XCL1/RIPK2/TYK2/IL1B/TXK/SIRPA/CD14/IL12RB2/LGALS9B/IL21/LGALS9C/GATA3/IL23A/ZC3H12A/VSIR/HMSD/PGLYRP2/HLA-A"
"GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE","GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE",209,0.757124893738804,2.02296194871747,1e-10,2.67051282051282e-09,1.90148448043185e-09,2704,"tags=56%, list=14%, signal=48%","CCL19/TNFAIP3/SKAP1/HLA-DRA/NCKAP1L/SLAMF1/CD226/JAK3/SPN/PTPRC/LILRB1/WAS/SASH3/ADCY7/PTPN6/FCGR2B/IL27RA/CD69/CD4/TNFRSF1B/IL12RB1/HLA-F/CD1E/CD7/BTK/CD28/FCER2/FUT7/CD1C/DUSP22/BATF/IL4I1/CLEC7A/JAK2/ADA/MEF2C/PDCD1/CCR2/TNF/TBX21/P2RX7/TAP2/STAT5A/IL18/IL10/TNFSF4/CD1D/HAVCR2/HLA-E/SECTM1/IRF1/MALT1/PYCARD/CD40/CR1/FOXP3/IL4R/LGALS9/IL7R/CD1B/CARD9/CD80/ARID5A/CR2/LTA/B2M/IL12B/IL18R1/BCL6/LILRB4/IL12A/LOXL3/IL33/HLA-B/CD274/C3/XCL1/RIPK2/ALOX15/RC3H2/CR1L/TNFSF13B/TYK2/IL1B/STAT6/DENND1B/TGFB1/IL6ST/TNFRSF14/FCER1G/SLC15A4/CLEC4G/ATAD5/HMCES/CD1A/AKIRIN2/KLRD1/NLRP3/GATA3/TREM2/ASCL2/FBXO38/IL23A/IRF7/ZC3H12A/HLA-C/C17orf99/FCGR1A/NFKBID/STX7/TFRC/DUSP10/RIF1/HLA-A/PPP3CB/ZBTB1"
"GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY","GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY",189,0.758509597726343,2.02238562868963,1e-10,2.67051282051282e-09,1.90148448043185e-09,3028,"tags=62%, list=16%, signal=53%","PIK3R6/HLA-DRA/NCR3/NCKAP1L/SLAMF1/KLRB1/CD226/SPN/PTPRC/LILRB1/VAV1/WAS/SERPINB9/SH2D1A/SASH3/INPP5D/TIGIT/CLNK/PTPN6/FCGR2B/IL27RA/TNFRSF1B/IL12RB1/HLA-F/SLAMF6/CD1E/CD96/CD7/BTK/CD28/ARRB2/FCER2/FUT7/CRTAM/CD1C/DUSP22/IL4I1/RASGRP1/PDCD1/CCR2/TNF/TBX21/P2RX7/TAP2/STAT5A/IL18/IL10/TNFSF4/CD1D/HAVCR2/HLA-E/SECTM1/MALT1/CD40/CR1/FOXP3/LGALS9/IL7R/NCR1/CD1B/GRB2/CD80/ARID5A/IL18RAP/LAG3/CR2/LTA/B2M/IL12B/IL18R1/CALHM6/BCL6/LILRB4/IL12A/HLA-B/CD274/C3/XCL1/CR1L/STAT5B/IL1B/KLRC4/STAT6/DENND1B/TGFB1/FCER1G/IL21/SLC15A4/CLEC4G/SH2D1B/ATAD5/HMCES/CD1A/KLRD1/NLRP3/GATA3/RASGRP4/TREM2/FBXO38/KLRC2/IL23A/CLEC12B/HLA-C/C17orf99/FCGR1A/STX7/TFRC/RIF1/HLA-A/PPP3CB/ZBTB1/CD160/KIR2DL4/MAP3K7/HMGB1/AP1G1/HLA-DRB1"
"GOBP_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION","GOBP_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION",99,0.775637395192729,2.02137793229641,1e-10,2.67051282051282e-09,1.90148448043185e-09,3206,"tags=67%, list=17%, signal=56%","CCL19/NCKAP1L/RASAL3/SLAMF1/CCDC88B/CD6/SPN/PTPRC/CD3E/CARD11/SASH3/ZAP70/CORO1A/CD86/CD4/HLA-DPA1/IL12RB1/VCAM1/HLA-DPB1/HLA-DMB/CD28/IL2RA/EBI3/TNFRSF13C/JAK2/CCR2/TMIGD2/CD40LG/STAT5A/IL18/TNFSF4/PDCD1LG2/CD1D/HAVCR2/HLA-E/AIF1/PYCARD/FOXP3/LGALS9/CD80/IL12B/CCL5/CD274/XCL1/RIPK2/TNFSF13B/LILRB2/TYK2/STAT5B/IL1B/IL6ST/IL21/CD70/NR5A2/IL23A/CD209/TFRC/HLA-A/IGF1/SYK/ICOSLG/HMGB1/IL15/BTNL2/IL2/HHLA2"
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY","GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY",288,0.751713607182313,2.01889651088732,1e-10,2.67051282051282e-09,1.90148448043185e-09,2717,"tags=57%, list=14%, signal=49%","PIK3R6/HLA-DRA/NCR3/NCKAP1L/SLAMF1/FCMR/KLRB1/CD226/CSF2RB/CD2/SPN/PTPRC/LILRB1/VAV1/WAS/SERPINB9/SH2D1A/SASH3/CD74/INPP5D/TIGIT/CLNK/PTPN6/FCGR2B/IL27RA/CORO1A/IL2RB/UNC13D/TNFRSF1B/IL12RB1/IGLL5/HLA-F/SLAMF6/CD1E/CD96/CD7/BTK/CD28/SLAMF7/ARRB2/FCER2/FUT7/SLA2/CRTAM/CD27/CD1C/DUSP22/BATF/IL4I1/RASGRP1/MYD88/PDCD1/BTN3A2/CCR2/GZMM/TNF/CD40LG/TBX21/P2RX7/TAP2/STAT5A/IL18/CD19/IL10/TNFSF4/PRF1/CD1D/HAVCR2/HLA-E/SECTM1/MALT1/CD40/CR1/FOXP3/IL4R/LGALS9/IL7R/NCR1/HCST/CD1B/GRB2/CD8A/BTN3A3/EXO1/CARD9/CD80/CCR6/ARID5A/IL18RAP/NKG7/C1S/LAG3/CR2/LTA/B2M/IL12B/TLR8/IL18R1/LYST/MYO1G/CALHM6/TYROBP/C7/C1RL/BCL6/LILRB4/IL12A/TCIRG1/IL9R/HLA-B/CD274/C3/XCL1/AIRE/C1QC/CR1L/STAT5B/IL1B/GZMB/KLRC4/STAT6/DENND1B/C2/TGFB1/C1QA/FCER1G/IL21/SLC15A4/SWAP70/CLEC4G/C1QB/CD70/RNF19B/SH2D1B/RFTN1/ATAD5/HMCES/CD1A/KLRD1/NLRP3/GATA3/RASGRP4/TREM2/FBXO38/KLRC2/IL23A/CLEC12B/IRF7/UNC93B1/FCGR3A/HLA-C/C17orf99/FCGR1A/C1R/AICDA/STX7/LIG4/TFRC/RIF1/HLA-A/PPP3CB/ZBTB1/C5"
"GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION","GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION",160,0.759742337576211,2.01728212229163,1e-10,2.67051282051282e-09,1.90148448043185e-09,2663,"tags=55%, list=14%, signal=48%","TNFAIP3/RUNX3/PTPN22/LAPTM5/BTN2A2/JAK3/SPN/TNFRSF13B/LST1/LILRB1/CTLA4/TNFAIP8L2/CD74/INPP5D/TIGIT/CD300A/CLNK/RASSF5/CASP3/PTPN6/FCGR2B/TSPAN32/CD86/CD69/BTK/LAX1/CD37/ATM/BANK1/IL2RA/CRTAM/RIPOR2/TBC1D10C/DUSP22/IL4I1/PLA2G2D/LYN/BTLA/CSK/PDCD1/TBX21/STAT5A/IL10/TNFSF4/PDCD1LG2/HAVCR2/HLA-E/FGR/IRF1/MNDA/CR1/FOXP3/IL4R/PTPN2/LGALS9/TMEM131L/PAG1/MAD1L1/CD80/LAG3/TYROBP/BCL6/ILDR2/LILRB4/LOXL3/CD274/CBFB/XCL1/SOCS1/RC3H2/LILRB2/IDO1/TGFB1/ADORA2A/CBLB/TNFRSF14/LGALS9B/DTX1/CLEC4G/LGALS9C/CLEC12A/ASCL2/ZC3H12A/FGL2/VSIR/PGLYRP2/CDKN2A/VSIG4"
"GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION","GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION",71,0.788340115044263,2.01498902431745,1e-10,2.67051282051282e-09,1.90148448043185e-09,1676,"tags=54%, list=9%, signal=49%","GPR65/CCL19/RUNX3/IL2RG/HLA-DRA/NCKAP1L/RASAL3/PTPRC/CD3E/CARD11/SASH3/ZAP70/CD86/IL12RB1/CD28/EBI3/ITPKB/JAK2/ADA/CD83/CCR2/IL18/TNFSF4/HLA-E/MALT1/FOXP3/IL4R/LGALS9/IFNG/CD80/IL12B/LILRB4/IL12A/CBFB/XCL1/SOCS1/RIPK2/TYK2"
"GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY","GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",187,0.755704308602784,2.01443158975954,1e-10,2.67051282051282e-09,1.90148448043185e-09,3102,"tags=61%, list=16%, signal=52%","SKAP1/TRAT1/PTPN22/NCKAP1L/FCMR/LCK/LAPTM5/BTN2A2/CD72/CD226/CD3D/CD79A/PTPRC/FYB1/CD3E/CTLA4/CD3G/CARD11/SH2D1A/INPP5D/CD300A/BTN3A1/LCP2/PTPN6/ZAP70/FCGR2B/THEMIS/PRKCB/ITPRIPL1/TESPA1/PLCL2/BTK/PIK3CD/LAX1/CD247/HLA-DPB1/CD28/BLK/BANK1/FCHO1/SLA2/LPXN/DUSP22/BTN2A1/LYN/ADA/MEF2C/CSK/BTN3A2/CD79B/KLHL6/UBASH3A/CD8B/FCRL3/CCR7/LAT2/ITK/MS4A1/CD19/CD38/PLCG2/CYLD/MALT1/DGKZ/NFKB1/MNDA/STAP1/FOXP3/PTPN2/PRKCH/PRKD2/GRB2/CD8A/BTN3A3/GCSAM/BLNK/PDE4B/NFAM1/THEMIS2/LILRB4/CD22/BTN1A1/WNK1/RIPK2/RC3H2/SH2B2/TXK/DENND1B/ELF1/CBLB/SOS1/PIK3CA/BTN2A3P/RFTN1/LIPA/GATA3/KCNN4/ZC3H12A/UBE2N/NFKBID/LAT/HLA-A/FYB2/IKBKB/NFATC2/SYK/CD160/MAP3K7/UBR2/ICOSLG/CRKL/HLA-DRB1/CMTM3/BTNL2/PRAM1"
