ensembl_id,gene_symbol,entrez_id,log2FoldChange,pvalue,padj,sig
ENSG00000102245,CD40LG,959,3.419136638,1.26e-13,5.01e-12,Up
ENSG00000086730,LAT2,7462,3.551309192,1.26e-13,5.01e-12,Up
ENSG00000186827,TNFRSF4,7293,2.349966987,1.31e-13,5.13e-12,Up
ENSG00000113263,ITK,3702,4.099725379,1.3e-13,5.13e-12,Up
ENSG00000174946,GPR171,29909,2.873940413,1.3e-13,5.13e-12,Up
ENSG00000171659,GPR34,2857,1.950452186,1.37e-13,5.34e-12,Up
ENSG00000206432,TMEM200C,645369,2.840087094,1.36e-13,5.34e-12,Up
ENSG00000140090,SLC24A4,123041,1.898184948,1.37e-13,5.35e-12,Up
ENSG00000157303,SUSD3,203328,2.183028858,1.38e-13,5.38e-12,Up
ENSG00000154217,PITPNC1,26207,1.219080128,1.41e-13,5.5e-12,Up
ENSG00000176160,HSF5,124535,3.212611107,1.41e-13,5.5e-12,Up
ENSG00000134061,CD180,4064,5.026764439,1.42e-13,5.53e-12,Up
ENSG00000109265,CRACD,57482,3.135311422,1.44e-13,5.59e-12,Up
ENSG00000073861,TBX21,30009,2.821096565,1.45e-13,5.63e-12,Up
ENSG00000234965,SHISA8,440829,6.077457809,1.51e-13,5.85e-12,Up
ENSG00000235740,PHACTR2-AS1,285740,2.418935772,1.52e-13,5.87e-12,Up
ENSG00000136960,ENPP2,5168,1.767029431,1.54e-13,5.93e-12,Up
ENSG00000089041,P2RX7,5027,2.176841477,1.55e-13,5.97e-12,Up
ENSG00000204267,TAP2,6891,2.044045146,1.61e-13,6.18e-12,Up
ENSG00000170476,MZB1,51237,4.639505306,1.67e-13,6.37e-12,Up
ENSG00000162676,GFI1,2672,2.964507469,1.73e-13,6.59e-12,Up
ENSG00000156738,MS4A1,931,6.619454449,1.79e-13,6.8e-12,Up
ENSG00000034677,RNF19A,25897,1.160829423,1.81e-13,6.88e-12,Up
ENSG00000148848,ADAM12,8038,2.179561758,2.03e-13,7.64e-12,Up
ENSG00000188822,CNR2,1269,3.589677259,2.05e-13,7.71e-12,Up
ENSG00000059377,TBXAS1,6916,1.914636165,2.05e-13,7.71e-12,Up
ENSG00000185565,LSAMP,4045,1.963460726,2.11e-13,7.91e-12,Up
ENSG00000099822,HCN2,610,2.612815008,2.27e-13,8.43e-12,Up
ENSG00000102034,ELF4,2000,1.953720789,2.28e-13,8.46e-12,Up
ENSG00000150782,IL18,3606,2.231302399,2.29e-13,8.47e-12,Up
ENSG00000141956,PRDM15,63977,1.024043002,2.29e-13,8.49e-12,Up
ENSG00000153179,RASSF3,283349,1.348199053,2.34e-13,8.65e-12,Up
ENSG00000245164,LINC00861,100130231,4.507869792,2.35e-13,8.67e-12,Up
ENSG00000119397,CNTRL,11064,1.502068393,2.39e-13,8.81e-12,Up
ENSG00000253490,LINC02099,101929450,5.193609963,2.41e-13,8.87e-12,Up
ENSG00000100599,RIN3,79890,1.38206131,2.43e-13,8.92e-12,Up
ENSG00000204397,CARD16,114769,1.636248598,2.49e-13,9.11e-12,Up
ENSG00000205683,DPF3,8110,1.349445091,2.5e-13,9.12e-12,Up
ENSG00000141524,TMC6,11322,2.407903564,2.54e-13,9.27e-12,Up
ENSG00000177455,CD19,930,6.685154836,2.65e-13,9.62e-12,Up
ENSG00000004468,CD38,952,3.1871688,2.69e-13,9.76e-12,Up
ENSG00000136634,IL10,3586,3.468392401,2.75e-13,9.94e-12,Up
ENSG00000214212,C19orf38,255809,2.022643212,2.86e-13,1.04e-11,Up
ENSG00000138795,LEF1,51176,2.065455974,2.91e-13,1.05e-11,Up
ENSG00000269220,LINC00528,200298,3.328174413,3.11e-13,1.12e-11,Up
ENSG00000274020,LINC01138,388685,2.10396546,3.15e-13,1.13e-11,Up
ENSG00000152270,PDE3B,5140,2.695025488,3.29e-13,1.18e-11,Up
ENSG00000132185,FCRLA,84824,6.916729933,3.31e-13,1.18e-11,Up
ENSG00000158711,ELK4,2005,1.143318976,3.31e-13,1.18e-11,Up
ENSG00000091490,SEL1L3,23231,2.354123113,3.36e-13,1.2e-11,Up
ENSG00000109436,TBC1D9,23158,1.318434431,3.44e-13,1.23e-11,Up
ENSG00000197943,PLCG2,5336,2.769555196,3.55e-13,1.26e-11,Up
ENSG00000140511,HAPLN3,145864,2.469337045,3.68e-13,1.31e-11,Up
ENSG00000048462,TNFRSF17,608,2.974645853,3.8e-13,1.35e-11,Up
ENSG00000168234,TTC39C,125488,1.556443669,4.06e-13,1.43e-11,Up
ENSG00000081059,TCF7,6932,2.212608816,4.05e-13,1.43e-11,Up
ENSG00000087085,ACHE,43,1.798659044,4.08e-13,1.44e-11,Up
ENSG00000108798,ABI3,51225,1.53687433,4.16e-13,1.46e-11,Up
ENSG00000224557,HLA-DPB2,3116,3.581576466,4.23e-13,1.49e-11,Up
ENSG00000154025,SLC5A10,125206,2.75504172,4.31e-13,1.51e-11,Up
ENSG00000154016,GRAP,10750,2.236158311,4.49e-13,1.57e-11,Up
ENSG00000187764,SEMA4D,10507,1.215262173,4.53e-13,1.58e-11,Up
ENSG00000102445,RUBCNL,80183,2.533369131,4.63e-13,1.61e-11,Up
ENSG00000160796,NBEAL2,23218,1.141238874,4.82e-13,1.67e-11,Up
ENSG00000197057,DTHD1,401124,3.756702585,4.86e-13,1.68e-11,Up
ENSG00000184730,APOBR,55911,1.533199146,4.85e-13,1.68e-11,Up
ENSG00000134955,SLC37A2,219855,2.036195918,5.06e-13,1.75e-11,Up
ENSG00000145088,EAF2,55840,3.392398447,5.11e-13,1.76e-11,Up
ENSG00000177602,HASPIN,83903,3.496291847,5.12e-13,1.76e-11,Up
